顧客 Id,名前,性別,年齢,誕生日,婚姻,血液型,都道府県,キャリア,カレーの食べ方
我大-12850,三島 美佳,女,25,1991/09/17,未婚,B型,埼玉県,ソフトバンク,左ルー・混ぜ混ぜ派
海千-17395,深沢 秀樹,男,52,1964/04/26,既婚,O型,新潟県,ドコモ,ぶっかけ・別口派
皆学-10465,松田 誠治,男,56,1961/02/15,既婚,AB型,岩手県,ドコモ,左ルー・ルー攻め派
貝翔-17350,若松 文世,女,46,1970/10/20,未婚,A型,兵庫県,ドコモ,右ルー・ナン派
外瞳-16075,唐沢 克実,男,25,1992/02/17,未婚,A型,愛知県,au,右ルー・ルー攻め派
垣愛-18130,長谷 洋介,男,27,1989/11/15,既婚,A型,山口県,au,ぶっかけ・ルー攻め派
垣霞-12805,遠山 亜希,女,31,1985/04/12,既婚,O型,大阪府,ドコモ,左ルー・混ぜ混ぜ派
垣千-12205,上田 遥,女,36,1980/10/11,既婚,B型,沖縄県,ドコモ,左ルー・混ぜ混ぜ派
柿海-18790,杉下 陽子,女,26,1991/02/21,既婚,AB型,長野県,ドコモ,左ルー・ルー攻め派
柿美-13825,三井 美智子,女,33,1983/08/07,未婚,A型,茨城県,ドコモ,奥ルー・ルー攻め派
額四-12190,岩間 正義,男,31,1986/02/18,既婚,A型,兵庫県,ドコモ,ぶっかけ・別口派
掛誠-21250,赤木 育子,女,50,1966/10/02,既婚,O型,岐阜県,au,手前ルー・せき止め派
掛禎-21265,藤原 翔子,女,25,1992/01/23,未婚,A型,神奈川県,au,奥ルー・別口派
笠紅-11935,藤田 春樹,女,47,1969/11/15,既婚,B型,愛知県,ドコモ,右ルー・別口派
梶正-18190,野呂 理紗,女,67,1949/08/25,既婚,A型,大阪府,ドコモ,奥ルー・ルー攻め派
梶静-13675,横尾 洋介,男,70,1946/05/07,既婚,O型,東京都,ソフトバンク,ぶっかけ・別口派
葛海-21460,土谷 千佳子,女,54,1962/09/28,既婚,A型,東京都,ドコモ,奥ルー・ルー攻め派
葛茂-16210,中島 薫,女,48,1968/03/15,既婚,AB型,愛知県,ソフトバンク,左ルー・ルー攻め派
叶颯-20560,仲田 なぎさ,女,73,1944/02/04,既婚,AB型,東京都,au,右ルー・ルー攻め派
蒲修-12025,武 人志,男,38,1978/11/10,既婚,A型,北海道,au,手前ルー・混ぜ混ぜ派
栢正-14215,寺西 鉄洋,男,38,1978/12/25,既婚,B型,大阪府,ドコモ,右ルー・混ぜ混ぜ派
栢翔-11875,米谷 彩,女,64,1952/11/06,既婚,A型,福井県,au,ぶっかけ・せき止め派
苅蓮-10060,野本 豊,男,79,1937/07/27,既婚,B型,沖縄県,au,右ルー・ナン派
寒大-12475,安永 雅彦,男,55,1961/04/18,既婚,B型,群馬県,au,奥ルー・別口派
寒茂-16315,北川 有海,女,63,1953/12/15,既婚,O型,岐阜県,ドコモ,ぶっかけ・せき止め派
関愛-16420,花田 優,男,20,1996/04/19,未婚,B型,福岡県,ソフトバンク,右ルー・せき止め派
関海-16930,三枝 景子,女,64,1952/12/07,既婚,A型,青森県,ドコモ,左ルー・せき止め派
関美-15820,相田 那奈,女,51,1965/08/13,既婚,AB型,香川県,au,手前ルー・別口派
関武-16915,松沢 怜奈,女,59,1957/04/07,既婚,A型,東京都,ソフトバンク,左ルー・せき止め派
関由-10270,黒田 三郎,男,31,1985/06/19,既婚,B型,鹿児島県,ドコモ,左ルー・別口派
館健-13450,岡 敦,男,31,1985/10/01,未婚,A型,東京都,au,奥ルー・ルー攻め派
丸久-13645,三沢 美月,女,78,1938/10/13,既婚,O型,神奈川県,ドコモ,ぶっかけ・せき止め派
丸優-12295,新田 景子,女,43,1973/10/23,既婚,B型,神奈川県,ドコモ,奥ルー・混ぜ混ぜ派
丸翼-19735,大江 太朗,男,40,1977/02/01,未婚,O型,埼玉県,ソフトバンク,ぶっかけ・ルー攻め派
岸葵-20080,松下 陽子,女,31,1985/11/21,既婚,A型,愛知県,ドコモ,手前ルー・ルー攻め派
岸直-19405,佐古 たまき,女,21,1995/11/15,既婚,O型,栃木県,au,ぶっかけ・ルー攻め派
岸颯-21310,日下部 コウ,女,80,1936/10/23,既婚,A型,大阪府,ドコモ,奥ルー・せき止め派
岩桐-16270,菅野 由宇,女,80,1936/03/11,既婚,B型,広島県,ドコモ,右ルー・別口派
岩彩-17740,海老原 大,男,42,1974/11/07,既婚,B型,千葉県,ドコモ,ぶっかけ・せき止め派
岩太-15025,飯田 育子,女,78,1939/01/10,既婚,B型,大阪府,ドコモ,右ルー・ルー攻め派
岩大-17440,江川 晋也,男,59,1957/10/27,既婚,AB型,神奈川県,ドコモ,左ルー・ルー攻め派
岩智-11605,横井 理紗,女,20,1996/11/10,既婚,O型,宮城県,ソフトバンク,左ルー・せき止め派
岩美-10615,玉井 夏希,女,44,1972/07/25,既婚,A型,沖縄県,au,左ルー・別口派
岩萌-18400,石田 一徳,男,39,1978/01/23,既婚,O型,神奈川県,ドコモ,ぶっかけ・せき止め派
岩明-13540,井上 しぼり,女,39,1977/04/06,既婚,O型,山口県,ドコモ,ぶっかけ・ルー攻め派
岩陽-10165,矢口 有海,女,55,1961/04/16,既婚,O型,山口県,ドコモ,ぶっかけ・ナン派
岩涼-13855,佐藤 充則,男,30,1986/09/29,未婚,A型,愛知県,ドコモ,ぶっかけ・ルー攻め派
喜麗-15010,中園 小雁,男,26,1990/09/28,既婚,B型,奈良県,au,左ルー・混ぜ混ぜ派
喜翔-14005,対馬 優,女,38,1978/03/20,既婚,O型,神奈川県,ドコモ,ぶっかけ・別口派
亀桐-17320,荻野 大樹,男,65,1952/02/17,既婚,AB型,大阪府,ドコモ,奥ルー・混ぜ混ぜ派
菊延-13765,黒沢 ひとみ,女,25,1991/07/28,未婚,AB型,神奈川県,ドコモ,左ルー・別口派
菊直-14620,久保田 勝久,男,76,1940/06/08,既婚,AB型,岐阜県,ソフトバンク,奥ルー・ルー攻め派
吉一-18250,竹中 大,男,44,1972/06/11,未婚,B型,愛媛県,ドコモ,左ルー・せき止め派
吉彩-18565,伊丹 璃子,女,68,1948/10/06,既婚,O型,千葉県,ドコモ,ぶっかけ・せき止め派
吉桜-16690,都築 茜,女,76,1940/04/20,既婚,O型,埼玉県,ドコモ,別盛り・せき止め派
吉進-13225,佐藤 進,男,29,1987/03/11,未婚,A型,山形県,ドコモ,ぶっかけ・せき止め派
吉太-18625,佐古 信輔,男,69,1947/06/09,既婚,O型,福岡県,ツーカー,左ルー・ルー攻め派
吉大-15445,岡部 茜,女,73,1943/07/20,既婚,A型,兵庫県,au,別盛り・ナン派
吉直-17935,岩城 優,女,35,1981/07/03,既婚,A型,徳島県,ソフトバンク,ぶっかけ・別口派
吉美-17560,毛利 薫,女,62,1955/01/20,既婚,O型,岐阜県,au,ぶっかけ・混ぜ混ぜ派
吉翔-11305,佐野 一代,女,42,1974/09/16,既婚,O型,高知県,ドコモ,左ルー・ルー攻め派
吉颯-13495,内村 小雁,男,39,1977/04/25,既婚,A型,大阪府,ドコモ,左ルー・せき止め派
橘夏-15535,野中 美嘉,女,32,1984/08/13,未婚,A型,静岡県,ソフトバンク,ぶっかけ・せき止め派
久剛-15625,瀬戸 未來,女,20,1996/11/21,未婚,O型,東京都,au,ぶっかけ・混ぜ混ぜ派
久大-14125,川原 佑,男,44,1972/12/17,未婚,A型,福島県,ドコモ,ぶっかけ・混ぜ混ぜ派
久勇-18775,村松 昴,男,42,1975/02/10,既婚,O型,大阪府,au,左ルー・別口派
久螢-10075,高野 将也,男,66,1950/10/13,既婚,B型,大阪府,ドコモ,ぶっかけ・せき止め派
及進-21550,高山 花緑,男,23,1993/09/11,未婚,O型,静岡県,ドコモ,右ルー・混ぜ混ぜ派
宮輝-21295,畠中 勇太,男,37,1979/11/19,既婚,B型,群馬県,ドコモ,右ルー・ルー攻め派
宮慶-19465,清田 由宇,女,22,1994/07/16,既婚,A型,愛媛県,au,別盛り・せき止め派
宮修-12055,深沢 菜摘,女,40,1976/12/22,既婚,O型,山梨県,ドコモ,左ルー・混ぜ混ぜ派
宮修-13615,赤木 和之,男,40,1977/02/11,未婚,O型,千葉県,ドコモ,ぶっかけ・混ぜ混ぜ派
宮駿-18760,真矢 直人,男,43,1973/11/23,未婚,AB型,神奈川県,ドコモ,奥ルー・ルー攻め派
宮正-19960,雨宮 沙知絵,女,50,1966/12/12,既婚,A型,東京都,ドコモ,奥ルー・せき止め派
宮誠-10570,堀口 季衣,女,35,1981/09/22,既婚,A型,埼玉県,ドコモ,左ルー・ルー攻め派
宮節-13270,吉沢 ジローラモ,男,69,1948/01/02,既婚,AB型,大阪府,ドコモ,右ルー・ルー攻め派
宮拓-15130,宮里 莉緒,女,33,1983/10/02,既婚,O型,大阪府,ドコモ,ぶっかけ・混ぜ混ぜ派
宮直-12790,木村 恵美,女,42,1974/03/25,既婚,B型,東京都,ドコモ,右ルー・ナン派
宮和-15205,高尾 一哉,男,40,1977/01/11,既婚,AB型,沖縄県,ソフトバンク,ぶっかけ・ルー攻め派
宮翔-21145,三谷 輝信,男,80,1937/02/26,既婚,A型,福岡県,ドコモ,左ルー・ルー攻め派
宮颯-18970,宇田川 涼,女,52,1964/11/27,既婚,B型,千葉県,ドコモ,左ルー・混ぜ混ぜ派
牛香-20365,安井 礼子,女,55,1961/08/10,既婚,A型,大阪府,au,ぶっかけ・せき止め派
牛克-10330,栗山 沙耶,女,53,1963/07/07,既婚,AB型,福島県,ドコモ,奥ルー・せき止め派
橋優-14680,大野 雅之,男,53,1963/11/16,既婚,O型,青森県,ドコモ,左ルー・せき止め派
郷延-12145,岡崎 秀樹,男,24,1993/02/04,未婚,O型,福島県,ドコモ,ぶっかけ・ナン派
曲翔-17890,境 桃子,女,46,1970/05/22,既婚,O型,広島県,ドコモ,ぶっかけ・せき止め派
玉七-21565,若山 えみ,女,70,1946/06/24,既婚,AB型,岡山県,ドコモ,左ルー・ルー攻め派
桐駿-16735,西村 光良,男,31,1985/09/06,既婚,A型,栃木県,ドコモ,右ルー・別口派
桐誠-18985,加藤 和久,男,20,1996/06/23,既婚,B型,群馬県,ドコモ,別盛り・混ぜ混ぜ派
桐翔-11395,西井 基祐,男,58,1959/02/20,既婚,A型,大阪府,ドコモ,左ルー・せき止め派
芹千-10450,佐川 隆太,男,49,1967/11/12,既婚,AB型,石川県,ドコモ,左ルー・混ぜ混ぜ派
芹翼-16030,岩沢 寛治,男,68,1948/06/07,既婚,A型,愛知県,ドコモ,右ルー・ルー攻め派
金延-20185,神崎 弘也,男,44,1972/04/24,未婚,O型,埼玉県,ドコモ,左ルー・ルー攻め派
金慶-15670,菅谷 法嗣,男,25,1991/11/26,未婚,O型,兵庫県,ドコモ,左ルー・ルー攻め派
金孝-13465,宇都宮 淳子,女,54,1962/04/13,既婚,O型,愛知県,ソフトバンク,右ルー・ルー攻め派
金彩-21625,青山 洋介,男,65,1951/07/14,既婚,B型,滋賀県,ドコモ,ぶっかけ・ルー攻め派
金皐-14080,塚原 まなみ,女,30,1986/04/28,未婚,O型,奈良県,ツーカー,ぶっかけ・ナン派
金四-19630,八木 フミヤ,男,34,1982/07/24,既婚,O型,大分県,ソフトバンク,ぶっかけ・混ぜ混ぜ派
金美-13525,上田 薫,男,77,1939/12/30,既婚,O型,福岡県,ドコモ,左ルー・別口派
駒静-19285,芹沢 光,男,58,1958/09/19,既婚,A型,愛知県,ドコモ,右ルー・せき止め派
駒翔-14545,北条 まさし,男,36,1980/09/19,既婚,O型,愛知県,au,左ルー・ルー攻め派
櫛颯-19000,川原 妃里,女,70,1946/05/04,既婚,B型,東京都,au,右ルー・せき止め派
沓大-11050,小笠原 敏和,男,50,1966/07/12,既婚,O型,山梨県,ソフトバンク,右ルー・混ぜ混ぜ派
栗節-19855,石川 満,男,23,1993/10/08,未婚,O型,山口県,au,右ルー・ルー攻め派
栗凛-11515,長谷 努,男,69,1947/05/07,既婚,B型,北海道,ドコモ,ぶっかけ・混ぜ混ぜ派
鍬香-11350,徳田 真希,女,75,1941/05/20,既婚,O型,岐阜県,au,左ルー・ルー攻め派
軽翔-18265,吹越 賢二,男,59,1958/01/31,既婚,A型,東京都,ソフトバンク,ぶっかけ・ルー攻め派
月葵-18550,岡島 弘也,男,47,1969/11/24,未婚,A型,福井県,ドコモ,左ルー・別口派
見海-11650,林田 美紀,女,61,1955/09/16,既婚,O型,大分県,au,左ルー・混ぜ混ぜ派
鍵翔-19330,飛田 千夏,女,80,1936/04/12,既婚,O型,福岡県,ソフトバンク,手前ルー・せき止め派
原弘-11170,田口 那奈,女,21,1995/04/30,未婚,A型,東京都,au,左ルー・せき止め派
原皐-14320,岩永 三省,男,28,1989/01/23,未婚,O型,千葉県,ドコモ,手前ルー・せき止め派
原美-14305,藤島 美帆,女,68,1948/03/21,既婚,A型,神奈川県,ドコモ,ぶっかけ・ルー攻め派
古海-14890,飯野 了,男,47,1969/12/09,既婚,O型,栃木県,ドコモ,別盛り・別口派
古寛-10600,小林 美菜,女,67,1949/08/16,既婚,A型,千葉県,au,右ルー・ルー攻め派
古慶-20170,布川 隆,男,29,1987/08/13,未婚,B型,宮城県,ドコモ,手前ルー・混ぜ混ぜ派
古七-11725,沖 ノブヒコ,男,53,1963/09/29,既婚,B型,熊本県,ドコモ,奥ルー・せき止め派
古正-11275,栗田 ケンイチ,男,50,1966/10/24,既婚,O型,千葉県,ドコモ,左ルー・混ぜ混ぜ派
戸夏-21760,金丸 憲一,男,55,1961/08/27,既婚,B型,鳥取県,ソフトバンク,左ルー・混ぜ混ぜ派
戸小-16825,小畑 コウ,女,56,1961/02/22,既婚,AB型,千葉県,ソフトバンク,左ルー・せき止め派
戸和-15610,有馬 愛,女,32,1985/02/14,未婚,O型,青森県,ドコモ,奥ルー・せき止め派
狐大-10855,泉 さゆり,女,59,1957/11/30,既婚,O型,兵庫県,ソフトバンク,ぶっかけ・ルー攻め派
胡梅-18715,池内 瞬,男,62,1955/01/27,既婚,O型,福岡県,ドコモ,別盛り・別口派
五克-13105,三宅 ヒロ,男,77,1940/01/22,既婚,AB型,岡山県,ソフトバンク,左ルー・せき止め派
五美-19525,沼田 美月,女,46,1970/04/16,未婚,A型,東京都,ソフトバンク,左ルー・せき止め派
後克-17875,仲村 優一,男,35,1981/06/24,未婚,O型,福岡県,ドコモ,ぶっかけ・混ぜ混ぜ派
後美-12160,上野 翔太,男,56,1960/09/14,既婚,O型,山形県,ソフトバンク,手前ルー・ルー攻め派
鯉愛-21640,角 広之,男,41,1975/06/29,既婚,A型,愛知県,ドコモ,ぶっかけ・混ぜ混ぜ派
光海-20140,平 敏也,男,80,1936/12/10,既婚,AB型,宮城県,ドコモ,左ルー・ルー攻め派
光皐-13135,前原 智花,女,63,1953/03/27,既婚,A型,奈良県,ドコモ,ぶっかけ・別口派
光正-10960,黒川 憲史,男,56,1960/12/13,既婚,A型,島根県,au,左ルー・せき止め派
向太-17860,七瀬 公顕,男,37,1979/05/09,既婚,A型,福岡県,ドコモ,別盛り・別口派
向直-11590,武内 ノブヒコ,男,52,1964/08/01,既婚,AB型,神奈川県,au,左ルー・ルー攻め派
好雪-13255,西原 亮,男,68,1948/10/28,既婚,B型,東京都,ドコモ,左ルー・ルー攻め派
広麗-16090,小林 恭子,女,36,1980/05/06,既婚,B型,栃木県,ドコモ,左ルー・ナン派
広和-12430,伊藤 茂樹,男,64,1952/04/06,既婚,A型,長野県,ドコモ,左ルー・ナン派
恒朋-19270,矢田 豊,男,80,1936/06/12,既婚,O型,東京都,ツーカー,左ルー・せき止め派
更翼-21010,柳原 獅童,男,29,1987/12/04,既婚,O型,神奈川県,ドコモ,左ルー・別口派
江美-10405,藤 茂樹,男,60,1956/10/31,既婚,B型,千葉県,ドコモ,ぶっかけ・せき止め派
溝健-17545,平岡 恵梨香,女,54,1962/12/02,未婚,O型,青森県,ソフトバンク,左ルー・せき止め派
溝桜-19660,中岡 悟志,男,80,1937/01/17,既婚,O型,京都府,ドコモ,左ルー・別口派
溝真-21325,山野 昴,男,36,1981/02/07,既婚,A型,熊本県,ドコモ,左ルー・せき止め派
甲霞-18955,山下 美嘉,女,29,1987/04/25,未婚,A型,三重県,ドコモ,左ルー・ルー攻め派
甲丈-15235,前原 桃子,女,74,1943/02/20,既婚,A型,兵庫県,ドコモ,左ルー・ルー攻め派
荒剛-21475,北村 恵麻,女,76,1940/10/19,既婚,O型,大阪府,au,手前ルー・別口派
